name,handle,platform,followers,bio,recent_posts
Bharat Updates,@bharatupdates,YouTube,850000,"Explaining Indian government policies, welfare schemes and national development.","Digital India explained | UPI success story | PM Kisan benefits | Viksit Bharat vision"
India Progress,@indiaprogress,X,620000,"Content focused on infrastructure, railways and economic development.","Vande Bharat train expansion | Startup India | Gati Shakti Mission"
Policy Talks,@policytalks,Instagram,320000,"Breaking down government schemes and public policy in simple language.","Ayushman Bharat explained | PM Awas Yojana | Jal Jeevan Mission"
Nation First,@nationfirst,YouTube,910000,"Discussing India's growth, reforms and public welfare initiatives.","Digital governance | Make in India | Infrastructure projects"
New India Vision,@newindiavision,Instagram,450000,"Sharing updates on Indian development and governance.","Smart Cities Mission | Startup India | UPI growth"
GovConnect,@govconnect,X,275000,"Government schemes, employment programs and development news.","Skill India | PM Mudra Yojana | National development"

Tech With Rahul,@techrahul,YouTube,520000,"Teaching Golang, Docker, Kubernetes and System Design.","Go concurrency tutorial | Redis explained | Docker Crash Course"
Code Academy,@codeacademy,YouTube,790000,"Programming tutorials and software engineering concepts.","React Hooks | Microservices | Python API"
Dev Talks,@devtalks,Instagram,180000,"Daily coding tips and backend development.","Kafka basics | PostgreSQL indexing | JWT Authentication"
AI Bytes,@aibytes,X,340000,"Artificial Intelligence and Machine Learning tutorials.","Claude API guide | LLM prompting | AI agents"

Money Mentor,@moneymentor,YouTube,980000,"Helping people learn investing and personal finance.","Mutual funds | SIP strategy | Stock market basics"
Finance Simplified,@financesimplified,Instagram,430000,"Financial literacy for beginners.","Income tax tips | Budget planning | Investment basics"
Market Pulse,@marketpulse,X,210000,"Daily stock market updates.","Nifty analysis | Sensex | RBI policy"

Fit India Coach,@fitindiacoach,Instagram,660000,"Fitness coaching and nutrition advice.","Chest workout | Protein intake | Fat loss tips"
Gym Warrior,@gymwarrior,YouTube,510000,"Workout routines and bodybuilding.","Push day workout | Creatine guide | Muscle building"

Travel Diaries,@traveldiaries,Instagram,390000,"Travel experiences across India and abroad.","Manali vlog | Goa beaches | Thailand trip"
Nomad Explorer,@nomadexplorer,YouTube,440000,"Travel guides and destination reviews.","Best places in Kashmir | Budget travel tips"

Funny Sharma,@funnysharma,Instagram,710000,"Comedy skits and relatable humor.","Family comedy | Office jokes | Funny reels"
Meme Factory,@memefactory,X,560000,"Daily memes and entertainment.","Trending memes | Viral jokes"

Daily News India,@dailynewsindia,YouTube,1200000,"General news covering politics, business and sports.","Parliament updates | Cricket news | Global economy"
